Signed Contract,Updated Staffing Plan,Bay Door,Date of Install,Unit #,Test Center ID,Station Name,Address,City,Zip,County,Phone,Type,Dealer #,Primary Email,Secondary Email,Station Contact,Opus Comments,Follow Up Comments,Station Comments/Complaints
y,,,11/8/21,CT2100065,ST0000014,Gary Rome Kia,809 Enfield Street,Enfield,06082,Hartford,(860) 253-4753,OBD Plus,,ivy@garyromekia.com,,Jonathan Rivera - Mgr,,,
Y,3/25/2026,14',5/10/21,CT2100061,ST0000034,Bob Valenti Chevrolet - Olds,72 Jerry Brown Road,Mystic,06355,New London,(860) 536-4931,OBD Plus,,tomwalsh@bobvalentiautomall.com,,Tom Walsh - Svc Mgr,,,
Y,3/24/2026,,12/3/21,CT2100021,ST0000112,Brustolon Buick GMC,47 Stonington Road,Mystic,06355,New London,(860) 536-2626,Full Service,,dcasey@brustolon.com,,Dan Casey - Svc Mgr                     860-536-4931,,,
Y,,,11/26/21,CT2100098,ST0000132,Middletown Toyota Inc,580 Newfield Street,Middletown,06457,Middlesex,(860) 347-7294,OBD Plus,,fabba72@yahoo.com,,Frank Abbatemarco,,,
Y,6/15/2026,10',10/9/21,CT2100036,ST0000229,Hartford Toyota Superstore,135 West Service Road,Hartford,06120,Hartford,(860) 278-5411,OBD Plus,,service@hartfordtoyota.com,,"Chip Benyi - Director, Service & Parts  ",,,
y,,,10/29/21,CT2100183,ST0000326,Midas - Bloomfield,41 Tunxis Avenue,Bloomfield,06002,Hartford,(860) 243-9430,OBD Plus,,bloomfieldmidas@gmail.com,,Aaron Berube - Mgr/Inspector                 John Amatruda - Svc Mgr,,,
Y,3/25/2026,10',12/20/21,CT2100145,ST0000329,Firestone - Bloomfield,371 Cottage Grove Road,Bloomfield,06002,Hartford,(860) 243-8213,OBD Plus,R685,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Andrew Bass - Sta Mgr,7/24/24 - received updated sta info,,
Y,3/12/2026,,11/1/21,CT2100008,ST0000359,Laurel Automotive,8 Herman Drive,Simsbury,06070,Hartford,(860) 658-7124,Full Service,,laurelauto@outlook.com,,John Brucker,,,
Y,2/4/2026,12',,CT2100054,ST0000434,Midas - Canton,66 Albany Turnpike,Canton,06019,Hartford,(860) 693-1721,OBD Plus,,midascanton@gmail.com,,Brad Voglesong - Sta Mgr,,,
Y,,,,CT2100102,ST0000493,Midas of Farmington,1361 Farmington Avenue,Farmington,06032,Hartford,(860) 676-0140,OBD Plus,,midasfarmington@gmail.com,gbrown8262@gmail.com,Greg Brown - Mgr                          Scott Macri - Asst Mgr,,,
Y,,,,CT2100097,ST0000520,Farmington Motor Sports Inc,146 Brickyard Road,Farmington,06032,Hartford,(860) 677-9074,OBD Plus,,fmsmarty@yahoo.com,,Martin Vibert - Sta Mgr,,,
y,3/25/2026,10',,CT2100010,ST0000525,Firestone - Glastonbury,139 Putnam Blvd,Glastonbury,06033,Hartford,(860) 633-4045,OBD Plus,L3363,jdean1994@gmail.com; robertsjennifer@bfusa.com,szimmerman@bfrc.com,Brian Mierez - Sta Mgr,,,
Y,2/6/2026,,,CT2100083,ST0000557,Kensington Auto Service LTD,89 Harding Street,Berlin,06037,Hartford,(860) 829-7377,OBD Plus,,kensingtonauto1@sbcglobal.net,kensingtonauto3@yahoo.com,Lenny & Justin Tubbs -owners,6/16/21 - Jack spoke with them and let them know what will be required of  them going forward.  If they comply they will be allowed to remain in the program,,
Y,3/25/2026,11',,CT2100015,ST0000616,Firestone - Manchester,1145 Tolland Turnpike,Manchester,06040,Hartford,(860) 646-1761,OBD Plus,R6361,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Chris Coombs - Svc Mgr,,,
Y,3/26/2026,13',,CT2100108,ST0000697,Firestone - New Britain,55 Chestnut Street,New Britain,06051,Hartford,(860) 229-0348,OBD Plus,R6381,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Ray Jones - Sta Mgr,,,
Y,,,,CT2100080,ST0000790,Farm Car Care Center Inc,11 Windermere Avenue,Vernon,06066,Tolland,(860) 875-3370,OBD Plus,,farmcarcare@gmail.com,baumer@sbcglobal.net,Vincent Pavelack or Michael,,,
Y,3/25/2026,10',,CT2100037,ST0000963,Firestone - Enfield,33 Palomba Drive,Enfield,06082,Hartford,(860) 265-4292,OBD Plus,R6390,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Anthony Trotta - Sta Mgr,,,
Y,,10',,CT2100060,ST0000986,Suburban Tire and Auto Service,65 Freshwater Boulevard,Enfield,06082,Hartford,(860) 741-2204,OBD Plus,,suburbantireandauto@gmail.com,wilbrahamtire@live.com,Terry Beusee - Sta Mgr,,,
Y,,,,CT2100063,ST0001010,Small Town Auto Repair,8 Bridge Street,East Windsor,06088,Hartford,(860) 623-9700,OBD Plus,,small.town.auto.repair@gmail.com,,Michael Peabody - Sta Mgr,exterior paint needed,,
Y,3/13/2026,,,CT2100027,ST0001056,Scatas Auto and Truck Repairs Inc,535 Spring Street,Windsor Locks,06096,Hartford,(860) 623-0449,Full Service,,scatasweb@gmail.com,,"Joseph Scata, owner",,,
Y,,,,CT2100130,ST0001193,Herbs Auto Electric Inc,16 Tolland Street,East Hartford,06108,Hartford,(860) 289-5421,Full Service,,herbsautoelect@aol.com,,Thomas Ciarlo - Sta Mgr                                 Joe & Marie Tatsciore - owners,"2nd unit requested, needs DMV approval",,
Y,,,,CT2100079,ST0001216,Wethersfield Automotive LLC,404 Silas Deane Highway,Wethersfield,06109,Hartford,(860) 563-2651,OBD Plus,,wethersfieldauto@aol.com,,Shawn Derwin - Sta Mgr,,,
