Signed Contract,Install Info,Test Center ID,Zone,Minority   Y/N,Name,Address,City,Zip,County,Phone,Type,Status,Date Called,Email,Assigned Users,Station Visit Date,Opus FSR,Date/Caller,Comments
Y,CTF38369,FL0001001,,,City of Bristol DPW,95 Vincent P. Kelly Road,Bristol,06010,Hartford,(860) 584-7792,Fleet,Active,4/29,jamesdivirgilio@bristolct.gov; parts@bristolct.gov,"Jim D, John",,,"AD 6/8, GF 10/5 ",
Y,CTF38411,FL0001002,,,Aquarion Water Company,600 Lindley Street,Bridgeport,06610,Fairfield,(203) 395-3212,Fleet,Active,4/29,mrosso@aquarionwater.com,,,,AD 6/8,
Y,CTF38408,FL0001003,,,Regional Water Authority,90 Sargent Drive,New Haven,06511,New Haven,(203) 401-2579,Fleet,Active,4/29,acox@rwater.com,Adam Cox/ Mgr,13-May,GF,"AD 6/8, GF 10/5",
Y,CTF38370,FL0001006,,,Hunter Ambulance Service,474 West Main Street,Meriden,06451,New Haven,(203) 514-5152,Fleet,Active,4/29,bobcr@huntersamb.com,Bob/Service Mgr,,,AD 6/8,
Y,CTF38363,FL0001007,,,New Haven Police Department,710 Sherman Pkwy,New Haven,06511,New Haven,(203) 946-6323,Fleet,Active,4/29,thatch@newhavenct.gov,Tim Hatch,13-May,GF,"AD 6/8, GF 10/5","  10/29 - updated contact info  Alissa Ebbson,
Supervisor of Management Services  "
Y,CTF38394,FL0001011,,,University of Hartford,200 Bloomfield Avenue,West Hartford,06117,Hartford,(860) 768-7816,Fleet,Active,4/29,beaumont@hartford.edu,,,,"AD 6/8, GF 10/5",
Y,CTF38364,FL0001013,,,Southern CT Gas Company,60 Marsh Hill Road,Orange,06477,New Haven,(203) 795-7863,Fleet,,"Vol 1,000",Mnye@UInet.com,"  Michael Nye 
203-795-7891",,,9/27 - GF,11/3 - left voicemail for Ed 11/4 - Danielle stated she’s not interested in getting new device/training. She previously agreed to be a VIN Only station to accommodate her biggest client (wrong station info?) - numerous attempts to contact but would not allow us on property - moved to OUT per JPiercemoved back to active stations tab per customer request.  Called Cleveland to see if we could deliver their equipment.  Advised to sign contract.
Y,CTF38373,FL0001014,,,State of Connecticut - DAS,140 Pond Lily Avenue,New Haven,06515,New Haven,(203) 397-4590,Fleet,Active,,newhaven.fleet@ct.gov,Al Landry / Ronald Johnson,,,,Static IP 159.247.225.38
Y,CTF38377,FL0001015,,,State of Connecticut - DAS,171 Salem Turnpike,Norwich,06360,New London,(860) 885-2153,Fleet,Active,,norwich.fleet@ct.gov,James Caramante,,,,"Static IP 159.247.225.69     for GPS use 10 Laura Blvd, entrance is across the street, it is a rear building with a blue awning over it  "
Y,CTF37449,FL0001016,,,State of Connecticut - DAS,"60 State Street, Rear",Wethersfield,06109,Hartford,8605290500,Fleet,Active,,wethersfield.fleet@ct.gov,Dave March or Steve Phillips,,,,Static IP 159.247.225.29
Y,CTF38361,FL0001017,,,City of Waterbury,526 Huntington Avenue,Waterbury,06708,New Haven,2035746965,Fleet,Active,,pmulvehill@waterburyct.org,Pat Mulvehill,,GF,,left voicemail 10/28 11/2 - resent email
Y,CTF38412,FL0001018,,,CNG Corp,76 Meadow Street,East Hartford,06108,Hartford,8607273028,Fleet,Active,,dhite@avangrid.com,,,,,
Y,CTF38378,FL0001033,,,DAS Garage - Dept of Emergency Svcs & Public Protection,47 Mill Hill Rd,Colchester,06415,New London,8604565800 x125         (cell) 8602506812,Fleet,Active,10/7,John.Mohrlein@ct.gov,John Mohrlein - Fleet Maint Spvr,,,,
Y,CTF37533,FL0001034,,,DAS Garage - Dept of Emergency Svcs & Public Protection  (Troop H),100 Washington St,Hartford,06106,Hartford,8604565800 x125         (cell) 8602506812,Fleet,Active,10/7,John.Mohrlein@ct.gov,John Mohrlein - Fleet Maint Spvr,,,,
Y,CTF38365,FL0001035,,,Frontier- Shelton,360 Bridgeport Ave,Shelton,06484,Fairfield,(203) 206-3323,,,,Jeffrey.j.miller@ftr.com,Jeffrey Miller,,,,
Y,CTF38395,FL0001036,,,Frontier - Norwalk,4 Meadow St,Norwalk,06851,Fairfield,(203) 206-3323,,,,Jeffrey.j.miller@ftr.com,Jeffrey Miller,,,,
Y,CTF37453,FL0001037,,,Frontier - Stratford,1175 Woodend Rd,Stratford,06497,Fairfield,(203) 206-3323,,,,Jeffrey.j.miller@ftr.com,Jeffrey Miller,,,,
Y,CTF38360,FL0001038,,,Frontier - Danbury,72 Sandpit Rd,Danbury,06810,Fairfield,(203) 206-3323,,,,Jeffrey.j.miller@ftr.com,Jeffrey Miller,,,,
Y,CTF38415,FL0001039,,,Frontier - Waterbury,555 Lakewiid Rd,Waterbury,06704,New Haven,(203) 206-3323,,,,Jeffrey.j.miller@ftr.com,Jeffrey Miller,,,,
Y,CTF37647,FL0001040,,,Frontier - Meriden,1441 N Colony Rd,Meriden,06450,New Haven,(203) 206-3323,,,,Jeffrey.j.miller@ftr.com,Jeffrey Miller,,,,
Y,CTF37541,FL0001041,,,Frontier - New Haven,4 Hamilton St,New Haven,06511,New Haven,(203) 215-9093,,,,Denny.kosovic@ftr.com ,Denny Kosovic,,,,
Y,CTF38418,FL0001042,,,Frontier - Enfield,1629 King St,Enfield,06082,Hartford,(203) 215-9093,,,,Denny.kosovic@ftr.com ,Denny Kosovic,,,,
Y,CTF37543,FL0001043,,,Frontier - N Windham,134 Club Rd,N Windham,06256,Windham,(203) 215-9093,,,,Denny.kosovic@ftr.com ,Denny Kosovic,,,,
