Layer,ID,Name,Full Address,City,State,ZIP,County,Type,Status,Phone,Email,DNR / License,Comments
OUT,,A & S Automotive LLC,"402 Main Street, East Haven, CT, 06512",East Haven,CT,06512,New Haven,,,(203) 503-2439,,U8417,disconnected | disconnected
OUT,,Aamity Car & Truck,"129 Whalley Ave, New Haven, CT, 06511",New Haven,CT,06511,,,,(203) 776-7208,,,"dirty station, small pkg lot, Bernardo refused to allow a look inside stating it was ""too messy"" | dirty station, small pkg lot, Bernardo refused to allow a look inside stating it was ""too messy"""
OUT,ST0003939,Abate Auto Body and Collision,"610 Migeon Ave, Torrington, CT, 06790",Torrington,CT,06790,Litchfield,OBD Plus,,8604893975,abateauto@sbcglobal.net,,
OUT,CTVIN7499,Abid LLC dba Nova Automotive,"284 Whalley Avenue, New Haven, CT, 06511",New Haven,CT,06511,New Haven,VIN Only,,2032865617,,,
OUT,,Ace Tire Company,"861 Ethan Allen Hwy, Ridgefield, CT, 06877",Ridgefield,CT,06877,,,,(203) 438-4042,,,"limited space, doesn’t want to use a bay for testing only | limited space, doesn’t want to use a bay for testing only"
OUT,ST0005078,Acme Auto Leasing LLC,"440 Washington Avenue, North Haven, CT, 06473",North Haven,CT,06473,New Haven,Test and Repair,,2032346850,,,"3/26 - on site visit but they are no longer in program, stopped doing inspections in January | 3/26 - on site visit but they are no longer in program, stopped doing inspections in January"
OUT,FL0001013,Advance Wheels of Technology,"650 Coe Avenue, East Haven, CT, 06512",East Haven,CT,06512,New Haven,VIN Only,,2038008064,jason@advancedwheels.com; christian@advancedwheels.com,,"RCV'D EMAIL 10/25, 11/3 - she wants someone to go over contract page by page and walk her through what she is signing. Not sure if she wants to continue | RCV'D EMAIL 10/25, 11/3 - she wants someone to go over contract page by page and walk her through what she is signing. Not sure if she wants to continue"
OUT,,Affordable Automotive,"32 Executive Center Drive, New Milford, CT, 06776",New Milford,CT,06776,U6125,,,(860) 359-2266,rose@affordableautomotive.com,,"newer site is nice and clean, plenty of parking aand spacious waiting area but refuses to do Saturdays, no masks | newer site is nice and clean, plenty of parking aand spacious waiting area but refuses to do Saturdays, no masks"
OUT,,All Car Care,"628 Lakewood Road, Waterbury, CT, 06704",Waterbury,CT,06704,New Haven,U7748,,(203) 573-5400,,,disconnected | disconnected
OUT,ST0006034,Amity Motors,"220 Amity Rd, Woodbridge, CT, 06525",Woodbridge,CT,06525,New Haven,Full Service,,2039070041,amity110@netscape.net,,"8/18/21 - owner is on vacation, will complete agreement when able to use internet | 8/18/21 - owner is on vacation, will complete agreement when able to use internet"
OUT,ST0006003,Annex Auto Repair,"166 Main St Annex, E Haven, CT, 06512",E Haven,CT,06512,New Haven,,,2034690812,annexautorepair@comcast.net,,8/9/21 - not sure if he wants to join | 8/9/21 - not sure if he wants to join
