Layer,ID,Name,Full Address,City,State,ZIP,County,Type,Status,Phone,Email,DNR / License,Comments
VIN Only,CTVIN2097,Daves RV Center,"2 Industrial Plaza Road, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,,,2037301744,davesr@davesrvcenter.com,VIN Ver,"4/29 - does motor homes only, no boats, mc, trailers, etc"
VIN Only,CTVIN1414,Furness Brothers Inc,"61 Buckley Highway, Stafford Springs, CT, 06076",Stafford Springs,CT,06076,Tolland,,,8606844219,fbimrtruck@outlook.com,VIN Ver,
VIN Only,CTVIN2622,Advanced Wheels,"33 Bradley Park Road, East Granby, CT, 06026",East Granby,CT,06026,Hartford,,,8606538064,jim@advancedwheels.com,VIN Ver,
VIN Only,CTVIN6279,Lakewood Auto Painting,"1540 North Main Street, Waterbury, CT, 06704",Waterbury,CT,06704,New Haven,,,2035741176,lakewoodauto007@sbcglobal.net,"Vol 2,500",
VIN Only,CTVIN1598,Dragone Classic Motorcars Inc,"5 Connair Road, Orange, CT, 06477",Orange,CT,06477,Fairfield,,,2033354643,mannydragone@gmail.com; kim@dragoneclassic.com,VIN Ver,
VIN Only,CTVIN6474,Hilario Truck Center LLC,"245 White Street, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,,,2037924200,paul@hilarios.com,VIN Ver,
VIN Only,CTVIN4888,Hilarios Service Center Inc,"131 Mount Pleasant Road, Newtown, CT, 06470",Newtown,CT,06470,Fairfield,,,2034261459,paul@hilarios.com,VIN Ver,
VIN Only,CTVIN2500,Top Truck Center Inc,"222 Prospect Street, East Hartford, CT, 06108",East Hartford,CT,06108,Hartford,,,8602895234,toptc@comcast.net,VIN Ver,
VIN Only,CTVIN2586,MAX BMW Motorcyles,"493 Danbury Rd, New Milford, CT, 06776",New Milford,CT,06776,Fairfield,,,(203) 740-1270 ext 1216,liz@maxbmw.com,VIN Ver,
VIN Only,CTVIN0485,Whitehouse Auto Sales,"450 Ashford Center Road, Ashford, CT, 06278",Ashford,CT,06278,Windham,,,8604296222,whitehousesales@hotmail.com,VIN Ver,
VIN Only,CTVIN6371,Ryder Truck Rental,"99 Murphy Rd, Hartford, CT, 06114",Hartford,CT,06114,Hartford,,,sta (860) 493-7426 (cell) 203-218-7566,christopher_marrero@ryder.com,Chris Marrero,12/9 - all set now | 2/4/25 - station advises they misunderstood and want to be a VIN Only and not a Fleet sta 2/19/25 - advised ok to perform VIN Only tests while waiting to sign new contract
VIN Only,CTVIN2373,Hemlock Hill RV Sales,"2123 Meriden Waterbury Tpke, Southington, CT, 06489",Southington,CT,06489,Hartford,,,8604262843,invoices@hhrvct.com; chrisa@hhrvct.com,,"9/29/25 - Geoff to set up tablet, advised will be a few weeks | 1/8/26 - tablet set up,"
VIN Only,NEW - interested in participating,,CT,,CT,,,,,,,,
VIN Only,,Green Light Auto Sales LLC,"9 Russell Rd, Bethany, CT, 06524",Bethany,CT,06524,New Haven,,,2038882000,glas2000ct@yahoo.com,,called ? to sign up and was referred to us. Gage spoke with her and advised we will let her know when VIN only contract has been finalized | 5/5/23 - per Trish still intersted
VIN Only,,Nova Automotive,"284 Whalley Avenue, New Haven, CT, 06511",New Haven,CT,06511,New Haven,,,2038656174,shawnabid@gmail.com,,5/1/23 - inquired via website
