Layer,ID,Name,Full Address,City,State,ZIP,County,Type,Status,Phone,Email,DNR / License,Comments
Waiting List,Full Service / CERF,Carplex LLC,"74 Woodlawn Rd, Berlin, CT, 06037",Berlin,CT,06037,Hartford,Full Service / CERF,,8602255388,carplexauto2025@gmail.com,U8900,
Waiting List,OBD/Repair,Medinas LLC,"15 Southwood Drive, Bloomfield, CT, 06002",Bloomfield,CT,06002,Hartford,OBD/Repair,,8606826102,yunielmedina16@yahoo.com,U9029,"population in '23 - 21,880, 2 stations now"
Waiting List,Full Service,1608 STRATFORD AVENUE DEVELOPMENT COMPANY LLC,"1780 Stratford Ave, Bridgeport, CT, 06607",Bridgeport,CT,06607,Fairfield,Full Service,,2035565277,ultimatetow@resourcesvc.com,U8487,
Waiting List,Full Service,"Alfa Motors, Inc","28 Huntington Road, Bridgeport, CT, 06608",Bridgeport,CT,06608,Fairfield,Full Service,,(203) 367-9816,,U6225,
Waiting List,OBD Plus,Coastline Auto,"2622 Fairfield Ave, Bridgeport, CT, 06605",Bridgeport,CT,06605,Fairfield,OBD Plus,,2033381575,sales@coastlineauto.net,U9045,
Waiting List,,Jims Auto Sales,"115 Pearl Street, Bridgeport, CT, 06608",Bridgeport,CT,06608,Fairfield,,,2033338797,has no email,U0396,
Waiting List,OBD Plus,Mario's Body Shop,"47 Columbus Place, Bridgeport, CT, 06604",Bridgeport,CT,06604,Fairfield,OBD Plus,,20336663479,help@mariosbody.shop,U6871,
Waiting List,,Sigma Service Center LLC,"1262 State Street, Bridgeport, CT, 06605",Bridgeport,CT,06605,Fairfield,,,(203) 690-1301,,U7925,
Waiting List,OBD Plus,Spring Replacement Auto & Truck Center,"320-360 North Ave, Bridgeport, CT, 06606",Bridgeport,CT,06606,Fairfield,OBD Plus,,2033352138,springco340@gmail.com,R5250,
Waiting List,,Ultimate Automotive,"1780 Stratford Ave, Bridgeport, CT, 06607",Bridgeport,CT,06607,Fairfield,,,(203) 332-9189,,U8487,
Waiting List,OBD Plus,Automotive Plus,"534 Broad St, Bristol, CT, 06010",Bristol,CT,06010,,OBD Plus,,8609738368,automotivepluss.llc@gmail.com,U9190,
Waiting List,Full Service / CERF,Brookfield Auto Body,"330 Candlewood Lake Rd, Brookfield, CT, 06804",Brookfield,CT,06804,Fairfield,Full Service / CERF,,2037751867,dispatch@lakevilletowing.com,U9154,
Waiting List,VIN Only,Gaduns Autobody,"212 E Main St, Clinton, CT, 06413",Clinton,CT,06413,Middlesex,VIN Only,,8606640056,neroad@sbcglobal.net,U8354,
Waiting List,,M&M Motors International LLC,"333 East Main Street, Clinton, CT, 06413",Clinton,CT,06413,Middlesex,,,(860) 664-0446,mandmotorsinfo@gmail.com,U7727,"8 bays w/no lift in test bay, has been interested in particpating for 12 yrs, Midas 3/4 mi away, will install window to bay"
Waiting List,Full Service,Reliable Auto Center,"522 Norwich Ave, Colchester, CT, 06415",Colchester,CT,06415,New London,Full Service,,8605375272,troy@reliableautocenterllc.com,U6209,
Waiting List,OBD or Full Svc,AR's General Repair & Used Cars,"127 White St, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,OBD or Full Svc,,(203) 300-5889,arsusedcarsales@gmail.com,,"1/27/22 - still interested 8/3/23 - submitted new application, advised still on list from 2021 and will notify when space isavailable"
Waiting List,Full Service,Brothers Auto,"88 Balmforth Ave, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,Full Service,,2037431516,brothersautoales88@gmail.com,U7471,
Waiting List,VIN ONLY,CJ Auto Service LLC,"15-17 Taylor St, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,VIN ONLY,,2038267263,cjautosale150@gmail.com,U9278,
Waiting List,Full Service,Carlos Auto Repair,"9 Great Pasture Rd, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,Full Service,,9175866264,carlosm.2006@hotmail.com,R7978,
Waiting List,Full Service CERF,Danbury Tire & Auto,"15 Mill Plains Rd, Danbury, CT, 06811",Danbury,CT,06811,Fairfield,Full Service CERF,,2037922600,danburytires@gmail.com,R7726,
Waiting List,CERF Only,Ingersol Automotive,"84 Federal Rd, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,CERF Only,,2037310068,josh.matos@ingersollauto.com,,
Waiting List,Full Service,Meagan Auto Truck,"95B Beaver Brook Rd, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,Full Service,,2039945360,meagantruckrepair@gmail.com,R7685,
Waiting List,Full Service,Royal Wellington Motors,"100 Federal Rd, Danbury, CT, 06810",Danbury,CT,06810,Fairfield,Full Service,,2037786333,lmconrad@mbofdanbury.com,N2833,
Waiting List,OBD Plus CERF,The Car Guys Garage,"60 Payne Rd, Danbury, CT, 06801",Danbury,CT,06801,Fairfield,OBD Plus CERF,,2037301337,thecarguysgaragellc@gmail.com,U7841,
Waiting List,OBD Plus,Volvo Cars Danbury,"106 Newtown Rd, Danbury, CT, 06811",Danbury,CT,06811,Fairfield,OBD Plus,,2038268520,melaniesullivan@thepremiercollection.com,N2402,
Waiting List,OBD Plus,Darien Mobil,"211 Post Rd, Darien, CT, 06820",Darien,CT,06820,Fairfield,OBD Plus,,8457974064,darienmobil@gmail.com,in process,will send photos w/app once DNR is approved
Waiting List,Full Service,ACI Auto Group,"206 S Main St, East Windsor, CT, 06088",East Windsor,CT,06088,Hartford,Full Service,,(860) 627-5601,pete@aciautogroup.com,U8851,"1/16/24 - returned to wait list after approval of Central A/S, could only allow one sta"
Waiting List,OBD Plus,Brothers Auto,"140 North Rd, East Windsor, CT, 06088",East Windsor,CT,06088,Hartford,OBD Plus,,8606231733,brothersautoew@gmail.com,U9126,
Waiting List,"OBD Plus, CERF",STS Automotive,"15 Newberry rd, East Windsor, CT, 06088",East Windsor,CT,06088,Hartford,"OBD Plus, CERF",,8603705574,stsautosct@gmail.com,U6350,6/15/25 - still interested
Waiting List,OBD Plus,Trusted Auto,"157 North Rd, East Windsor, CT, 06088",East Windsor,CT,06088,Hartford,OBD Plus,,8609929022,info@trustedautoct.com,U8833,
Waiting List,Full Service,CarMax Auto Superstore Inc,"121 Frontage Road, East Haven, CT, 06512",East Haven,CT,06512,New Haven,Full Service,,(804) 747-0422,,U7219,
Waiting List,,Ernie & Son's,"925 Foxon Road, East Haven, CT, 06513",East Haven,CT,06513,New Haven,,,(203) 469-6507,,U7928,
Waiting List,Full Service,Mongoose Industries,"299 Chapel St, Fair Haven, CT, 06513",Fair Haven,CT,06513,New Haven,Full Service,,2039894433,solutions@mongooseindustry.com,U9059,"7/24/24 - received email checking on the status of their application and asked if the shop is actually in Fair Haven does it make a difference. Advised will check and let them know when a spot is available. 7/30 - called to ck on status, advised we do not have a need at this time for another station in that area 8/22 - Marie provided her contact info for future corresponsdence"
Waiting List,OBD Plus,Carvana,"2269 Post Rd, Fairfield, CT, 06824",Fairfield,CT,06824,Fairfield,OBD Plus,,4809304869,colin.grace@carvana.com,U9134,claim they will be open to the public
Waiting List,VIN ONLY,Global Leasing,"1034 Fairfield Beach Rd, Fairfield, CT, 06824",Fairfield,CT,06824,Fairfield,VIN ONLY,,,,O6482,VIN ONLY
Waiting List,OBD Plus,Midas Auto Service Experts,"925 Post Rd, Fairfield, CT, 06824",Fairfield,CT,06824,Fairfield,OBD Plus,,2032598353,midas.fairfield@leedswest.com,R7428,
Waiting List,Full Service,Redline Motor LLC,"178 Kings Hwy Cutoff, Fairfield, CT, 06824",Fairfield,CT,06824,Fairfield,Full Service,,2037790989,kingshwy06824@gmail.com,U9076,
